ErrorCode,ErrorText
10004," TCP : Interrupted system call"
10009," TCP : Bad file number"
10013," TCP : Permission denied"
10014," TCP : Bad address"
10022," TCP : Invalid argument"
10024," TCP : Too many open files"
10035," TCP : Operation would block"
10036," TCP : Operation now in progress"
10037," TCP : Operation already in progress"
10038," TCP : Socket operation on non socket"
10039," TCP : Destination address required"
10040," TCP : Message too long"
10041," TCP : Protocol wrong type for Socket"
10042," TCP : Protocol not available"
10043," TCP : Protocol not supported"
10044," TCP : Socket not supported"
10045," TCP : Operation not supported on Socket"
10046," TCP : Protocol family not supported"
10047," TCP : Address family not supported"
10048," TCP : Address already in use"
10049," TCP : Can't assign requested address"
10050," TCP : Network is down"
10051," TCP : Network is unreachable"
10052," TCP : Network dropped connection on reset"
10053," TCP : Software caused connection abort"
10054," TCP : Connection reset by peer"
10055," TCP : No Buffer space available"
10056," TCP : Socket is already connected"
10057," TCP : Socket is not connected"
10058," TCP : Can't send after Socket shutdown"
10059," TCP : Too many references:can't splice"
10060," TCP : Connection timed out"
10061," TCP : Connection refused"
10062," TCP : Too many levels of symbolic links"
10063," TCP : File name is too long"
10064," TCP : Host is down"
10065," TCP : Unreachable peer"
10066," TCP : Directory is not empty"
10067," TCP : Too many processes"
10068," TCP : Too many users"
10069," TCP : Disk quota exceeded"
10070," TCP : Stale NFS file handle"
10071," TCP : Too many levels of remote in path"
10091," TCP : Network subsystem is unusable"
10092," TCP : Winsock DLL cannot support this application"
10093," TCP : Winsock not initialized"
10101," TCP : Disconnect"
11001," TCP : Host not found"
11002," TCP : Non authoritative - host not found"
11003," TCP : Non recoverable error"
11004," TCP : Valid name, no data record of requested type"
12001," TCP : Invalid address"
65536," ISO : Connection error"
75540," ISO : Connection error TCP : Interrupted system call"
75545," ISO : Connection error TCP : Bad file number"
75549," ISO : Connection error TCP : Permission denied"
75550," ISO : Connection error TCP : Bad address"
75558," ISO : Connection error TCP : Invalid argument"
75560," ISO : Connection error TCP : Too many open files"
75571," ISO : Connection error TCP : Operation would block"
75572," ISO : Connection error TCP : Operation now in progress"
75573," ISO : Connection error TCP : Operation already in progress"
75574," ISO : Connection error TCP : Socket operation on non socket"
75575," ISO : Connection error TCP : Destination address required"
75576," ISO : Connection error TCP : Message too long"
75577," ISO : Connection error TCP : Protocol wrong type for Socket"
75578," ISO : Connection error TCP : Protocol not available"
75579," ISO : Connection error TCP : Protocol not supported"
75580," ISO : Connection error TCP : Socket not supported"
75581," ISO : Connection error TCP : Operation not supported on Socket"
75582," ISO : Connection error TCP : Protocol family not supported"
75583," ISO : Connection error TCP : Address family not supported"
75584," ISO : Connection error TCP : Address already in use"
75585," ISO : Connection error TCP : Can't assign requested address"
75586," ISO : Connection error TCP : Network is down"
75587," ISO : Connection error TCP : Network is unreachable"
75588," ISO : Connection error TCP : Network dropped connection on reset"
75589," ISO : Connection error TCP : Software caused connection abort"
75590," ISO : Connection error TCP : Connection reset by peer"
75591," ISO : Connection error TCP : No Buffer space available"
75592," ISO : Connection error TCP : Socket is already connected"
75593," ISO : Connection error TCP : Socket is not connected"
75594," ISO : Connection error TCP : Can't send after Socket shutdown"
75595," ISO : Connection error TCP : Too many references:can't splice"
75596," ISO : Connection error TCP : Connection timed out"
75597," ISO : Connection error TCP : Connection refused"
75598," ISO : Connection error TCP : Too many levels of symbolic links"
75599," ISO : Connection error TCP : File name is too long"
75600," ISO : Connection error TCP : Host is down"
75601," ISO : Connection error TCP : Unreachable peer"
75602," ISO : Connection error TCP : Directory is not empty"
75603," ISO : Connection error TCP : Too many processes"
75604," ISO : Connection error TCP : Too many users"
75605," ISO : Connection error TCP : Disk quota exceeded"
75606," ISO : Connection error TCP : Stale NFS file handle"
75607," ISO : Connection error TCP : Too many levels of remote in path"
75627," ISO : Connection error TCP : Network subsystem is unusable"
75628," ISO : Connection error TCP : Winsock DLL cannot support this application"
75629," ISO : Connection error TCP : Winsock not initialized"
75637," ISO : Connection error TCP : Disconnect"
76537," ISO : Connection error TCP : Host not found"
76538," ISO : Connection error TCP : Non authoritative - host not found"
76539," ISO : Connection error TCP : Non recoverable error"
76540," ISO : Connection error TCP : Valid name, no data record of requested type"
77537," ISO : Connection error TCP : Invalid address"
131072," ISO : Disconnect error"
141076," ISO : Disconnect error TCP : Interrupted system call"
141081," ISO : Disconnect error TCP : Bad file number"
141085," ISO : Disconnect error TCP : Permission denied"
141086," ISO : Disconnect error TCP : Bad address"
141094," ISO : Disconnect error TCP : Invalid argument"
141096," ISO : Disconnect error TCP : Too many open files"
141107," ISO : Disconnect error TCP : Operation would block"
141108," ISO : Disconnect error TCP : Operation now in progress"
141109," ISO : Disconnect error TCP : Operation already in progress"
141110," ISO : Disconnect error TCP : Socket operation on non socket"
141111," ISO : Disconnect error TCP : Destination address required"
141112," ISO : Disconnect error TCP : Message too long"
141113," ISO : Disconnect error TCP : Protocol wrong type for Socket"
141114," ISO : Disconnect error TCP : Protocol not available"
141115," ISO : Disconnect error TCP : Protocol not supported"
141116," ISO : Disconnect error TCP : Socket not supported"
141117," ISO : Disconnect error TCP : Operation not supported on Socket"
141118," ISO : Disconnect error TCP : Protocol family not supported"
141119," ISO : Disconnect error TCP : Address family not supported"
141120," ISO : Disconnect error TCP : Address already in use"
141121," ISO : Disconnect error TCP : Can't assign requested address"
141122," ISO : Disconnect error TCP : Network is down"
141123," ISO : Disconnect error TCP : Network is unreachable"
141124," ISO : Disconnect error TCP : Network dropped connection on reset"
141125," ISO : Disconnect error TCP : Software caused connection abort"
141126," ISO : Disconnect error TCP : Connection reset by peer"
141127," ISO : Disconnect error TCP : No Buffer space available"
141128," ISO : Disconnect error TCP : Socket is already connected"
141129," ISO : Disconnect error TCP : Socket is not connected"
141130," ISO : Disconnect error TCP : Can't send after Socket shutdown"
141131," ISO : Disconnect error TCP : Too many references:can't splice"
141132," ISO : Disconnect error TCP : Connection timed out"
141133," ISO : Disconnect error TCP : Connection refused"
141134," ISO : Disconnect error TCP : Too many levels of symbolic links"
141135," ISO : Disconnect error TCP : File name is too long"
141136," ISO : Disconnect error TCP : Host is down"
141137," ISO : Disconnect error TCP : Unreachable peer"
141138," ISO : Disconnect error TCP : Directory is not empty"
141139," ISO : Disconnect error TCP : Too many processes"
141140," ISO : Disconnect error TCP : Too many users"
141141," ISO : Disconnect error TCP : Disk quota exceeded"
141142," ISO : Disconnect error TCP : Stale NFS file handle"
141143," ISO : Disconnect error TCP : Too many levels of remote in path"
141163," ISO : Disconnect error TCP : Network subsystem is unusable"
141164," ISO : Disconnect error TCP : Winsock DLL cannot support this application"
141165," ISO : Disconnect error TCP : Winsock not initialized"
141173," ISO : Disconnect error TCP : Disconnect"
142073," ISO : Disconnect error TCP : Host not found"
142074," ISO : Disconnect error TCP : Non authoritative - host not found"
142075," ISO : Disconnect error TCP : Non recoverable error"
142076," ISO : Disconnect error TCP : Valid name, no data record of requested type"
143073," ISO : Disconnect error TCP : Invalid address"
196608," ISO : Bad PDU format"
206612," ISO : Bad PDU format TCP : Interrupted system call"
206617," ISO : Bad PDU format TCP : Bad file number"
206621," ISO : Bad PDU format TCP : Permission denied"
206622," ISO : Bad PDU format TCP : Bad address"
206630," ISO : Bad PDU format TCP : Invalid argument"
206632," ISO : Bad PDU format TCP : Too many open files"
206643," ISO : Bad PDU format TCP : Operation would block"
206644," ISO : Bad PDU format TCP : Operation now in progress"
206645," ISO : Bad PDU format TCP : Operation already in progress"
206646," ISO : Bad PDU format TCP : Socket operation on non socket"
206647," ISO : Bad PDU format TCP : Destination address required"
206648," ISO : Bad PDU format TCP : Message too long"
206649," ISO : Bad PDU format TCP : Protocol wrong type for Socket"
206650," ISO : Bad PDU format TCP : Protocol not available"
206651," ISO : Bad PDU format TCP : Protocol not supported"
206652," ISO : Bad PDU format TCP : Socket not supported"
206653," ISO : Bad PDU format TCP : Operation not supported on Socket"
206654," ISO : Bad PDU format TCP : Protocol family not supported"
206655," ISO : Bad PDU format TCP : Address family not supported"
206656," ISO : Bad PDU format TCP : Address already in use"
206657," ISO : Bad PDU format TCP : Can't assign requested address"
206658," ISO : Bad PDU format TCP : Network is down"
206659," ISO : Bad PDU format TCP : Network is unreachable"
206660," ISO : Bad PDU format TCP : Network dropped connection on reset"
206661," ISO : Bad PDU format TCP : Software caused connection abort"
206662," ISO : Bad PDU format TCP : Connection reset by peer"
206663," ISO : Bad PDU format TCP : No Buffer space available"
206664," ISO : Bad PDU format TCP : Socket is already connected"
206665," ISO : Bad PDU format TCP : Socket is not connected"
206666," ISO : Bad PDU format TCP : Can't send after Socket shutdown"
206667," ISO : Bad PDU format TCP : Too many references:can't splice"
206668," ISO : Bad PDU format TCP : Connection timed out"
206669," ISO : Bad PDU format TCP : Connection refused"
206670," ISO : Bad PDU format TCP : Too many levels of symbolic links"
206671," ISO : Bad PDU format TCP : File name is too long"
206672," ISO : Bad PDU format TCP : Host is down"
206673," ISO : Bad PDU format TCP : Unreachable peer"
206674," ISO : Bad PDU format TCP : Directory is not empty"
206675," ISO : Bad PDU format TCP : Too many processes"
206676," ISO : Bad PDU format TCP : Too many users"
206677," ISO : Bad PDU format TCP : Disk quota exceeded"
206678," ISO : Bad PDU format TCP : Stale NFS file handle"
206679," ISO : Bad PDU format TCP : Too many levels of remote in path"
